epochs,alpha,beta,epsilon,per_random_forest_n_estimators,per_random_forest_max_depth,mmd_kernel,random_state,baseline_random_state,run_id,meta_forests_accuracy,rf_baseline_accuracy,improvement,runtime
10,-0.5,0.5,1e-07,50,3,rbf,42,42,0,0.6150392817059483,0.08641975308641975,0.5286195286195285,40.129969120025635
10,-0.5,0.5,1e-07,50,3,linear,42,42,1,0.6150392817059483,0.08641975308641975,0.5286195286195285,57.03583908081055
10,-0.5,0.5,1e-07,50,3,poly,42,42,2,0.6150392817059483,0.08641975308641975,0.5286195286195285,43.92447566986084
10,-0.5,0.5,1e-07,50,5,rbf,42,42,3,0.6150392817059483,0.6150392817059483,0.0,55.0917546749115
10,-0.5,0.5,1e-07,50,5,linear,42,42,4,0.6150392817059483,0.6150392817059483,0.0,44.62709188461304
10,-0.5,0.5,1e-07,50,5,poly,42,42,5,0.6150392817059483,0.6150392817059483,0.0,53.491804361343384
10,-0.5,0.5,1e-07,50,7,rbf,42,42,6,0.6150392817059483,0.6150392817059483,0.0,57.228933334350586
10,-0.5,0.5,1e-07,50,7,linear,42,42,7,0.6150392817059483,0.6150392817059483,0.0,59.10262322425842
10,-0.5,0.5,1e-07,50,7,poly,42,42,8,0.6150392817059483,0.6150392817059483,0.0,56.89631009101868
10,-0.5,0.5,1e-07,150,3,rbf,42,42,9,0.6150392817059483,0.08641975308641975,0.5286195286195285,110.21724939346313
10,-0.5,0.5,1e-07,150,3,linear,42,42,10,0.6150392817059483,0.08641975308641975,0.5286195286195285,109.49236464500427
10,-0.5,0.5,1e-07,150,3,poly,42,42,11,0.6150392817059483,0.08641975308641975,0.5286195286195285,99.55379915237427
10,-0.5,0.5,1e-07,150,5,rbf,42,42,12,0.6150392817059483,0.6150392817059483,0.0,140.63201880455017
10,-0.5,0.5,1e-07,150,5,linear,42,42,13,0.6150392817059483,0.6150392817059483,0.0,139.5057406425476
10,-0.5,0.5,1e-07,150,5,poly,42,42,14,0.6150392817059483,0.6150392817059483,0.0,127.79664278030396
10,-0.5,0.5,1e-07,150,7,rbf,42,42,15,0.6150392817059483,0.6150392817059483,0.0,153.5417516231537
10,-0.5,0.5,1e-07,150,7,linear,42,42,16,0.6150392817059483,0.6150392817059483,0.0,150.0705749988556
10,-0.5,0.5,1e-07,150,7,poly,42,42,17,0.6150392817059483,0.6150392817059483,0.0,148.912859916687
10,-0.5,0.5,1e-10,50,3,rbf,42,42,18,0.6150392817059483,0.08641975308641975,0.5286195286195285,37.60698390007019
10,-0.5,0.5,1e-10,50,3,linear,42,42,19,0.6150392817059483,0.08641975308641975,0.5286195286195285,36.2332558631897
10,-0.5,0.5,1e-10,50,3,poly,42,42,20,0.6150392817059483,0.08641975308641975,0.5286195286195285,34.2720890045166
10,-0.5,0.5,1e-10,50,5,rbf,42,42,21,0.6150392817059483,0.6150392817059483,0.0,46.11996674537659
10,-0.5,0.5,1e-10,50,5,linear,42,42,22,0.6150392817059483,0.6150392817059483,0.0,45.01221060752869
10,-0.5,0.5,1e-10,50,5,poly,42,42,23,0.6150392817059483,0.6150392817059483,0.0,42.89798092842102
10,-0.5,0.5,1e-10,50,7,rbf,42,42,24,0.6150392817059483,0.6150392817059483,0.0,50.096919298172
10,-0.5,0.5,1e-10,50,7,linear,42,42,25,0.6150392817059483,0.6150392817059483,0.0,48.11092472076416
10,-0.5,0.5,1e-10,50,7,poly,42,42,26,0.6150392817059483,0.6150392817059483,0.0,47.20061159133911
10,-0.5,0.5,1e-10,150,3,rbf,42,42,27,0.6150392817059483,0.08641975308641975,0.5286195286195285,95.61604881286621
10,-0.5,0.5,1e-10,150,3,linear,42,42,28,0.6150392817059483,0.08641975308641975,0.5286195286195285,92.74969720840454
10,-0.5,0.5,1e-10,150,3,poly,42,42,29,0.6150392817059483,0.08641975308641975,0.5286195286195285,93.98761987686157
10,-0.5,0.5,1e-10,150,5,rbf,42,42,30,0.6150392817059483,0.6150392817059483,0.0,112.97364330291748
10,-0.5,0.5,1e-10,150,5,linear,42,42,31,0.6150392817059483,0.6150392817059483,0.0,113.37980270385742
